Author,Date,Title,Source,Vol.,No.,pp.,Category,URL
A. Kountouras; P. Kintis; A. Avegetidis; T. Papastergiou; C. Lever; Polychronakis; M. Antonakakis,2021-02-21,Understanding the Growth and Security Considerations of ECS,Network and Distributed System Security Symposium (NDSS),,,,Conference Paper,
A. Ficara; G. Fiumara; P. De Meo; A. Liotta,2021-02-19,Correlations Among Game of Thieves and Other Centrality Measures in Complex Networks,Data Science and Internet of Things,,,,Peer,
X. Song; J. Heidemann,2021-02-15,Measuring the Internet during Covid-19 to Evaluate Work-from-Home,Cornell University,,,,Peer,
A. Saverimoutou,2021-02-03,Future internet metrology : characterization, quantification and prediction of web browsing quality,HAL Open Science,,,,Conference Paper,
S. Aghaalizadeh; S. T. Afshord; A. Bouyer; B. Anari,2021-02-01,A three-stage algorithm for local community detection based on the high node importance ranking in social networks,Physica A: Statistical Mechanics and its Applications,563,,,Conference Paper,
I. A. Gillani; A. Bagchi; S. Ranu,2021-01-02,A Group-to-Group Version of Random Walk Betweenness Centrality,CODS COMAD 2021: 8th ACM IKDD CODS and 26th COMAD,,,,Conference Paper,
H. K. Takhar,2020-12-21,Machine Learning Techniques for Detecting BGP Anomalies,Simon Fraser University,,,,Master Thesis,
C. Testart; D. D. Clark,2020-12-17,A Data-Driven Approach to Understanding the State of Internet Routing Security,TPRC48: The 48th Research Conference on Communication, Information, and Internet Policy,,,,Conference Paper,
F. Brenner; O. Mendizabal; P. Marcos,2020-12-11,Which one should I pick?: Helping operators choosing their inbound traffic engineering techniques,CoNEXT'20: Proceedings of the Student Workshop,,,7-8,Conference,
L. Muller; M. Luckie; B. Huffaker; KC Claffy; M. Barcellos,2020-12-09,Spoofed traffic inference at IXPs: Challenges, methods and analysis,Computer Networks,182,,,Peer,
T. Burns,2020-12-09,Network Reconnaissance in IPv6-based Residential Broadband Networks,Cornell University,,,,Peer,
N. Rodday; R. van Baaren; L. Hendricks; R. van Rijswijk-Deij; A. Pras; G. Dreo,2020-11-24,Evaluating RPKI ROV identification methodologies in automatically generated mininet topologies,CoNEXT '20: Proceedings of the 16th International Conference on emerging Networking EXperiments and Technologies,,,,Conference Paper,
R. Padmanabhan; J. P. Rula; P. Ritcher; S. D. Strowes; A. Dainotti,2020-11-24,DynamIPs: analyzing address assignment practices in IPv4 and IPv6,CoNEXT '20: Proceedings of the 16th International Conference on emerging Networking EXperiments and Technologies,,,55-70,Conference Paper,
T. Krenc; R. Beverly; G. Smaragdakis,2020-11-24,Keep your communities clean; exploring the routing message impact of BGP communities,Proceedings of the 16th International Conference on emerging Networking Experiments and Technologies (CoNEXT '20),,,433-50,Conference Paper,
A. Putina; D. Rossi,2020-11-10,Online Anomaly Detection Leveraging Stream-Based Clustering and Real-Time Telemetry,IEEE Transactions on Network and Service Management,18,1,,Conference Paper,
G. Zhang; M. Xu; J. Li,2020-11-06,NRV: Leveraging Secure Multi-Party Computation for Lightweight BGP Security Enhancement,2020 IEEE 39th International Performance Computing and Communications Conference (IPCCC),,,,Conference Paper,
M. Kwon; K. P. Neupane; J. Marshall; M. M. Rafique,2020-11-02,CuVPP: Filter-based Longest Prefix Matching in Software Data Planes,2020 IEEE International Conference on Cluster Computing (CLUSTER),,,,Conference Paper,
R. Copstein; N. Zincir-Heywood,2020-11-02,Temporal Representations for Detecting BGP Blackjack Attacks,2020 16th International Conference on Network and Service Management (CNSM),,,,Conference Paper,
C. Gray; C. Mosig; R. Bush; C. Pelsser; M. Roughan; T. C. Schmidt; M. Wahlisch,2020-10-27,BGP Beacons, Network Tomography, and Bayesian Computation to Locate Route Flap Damping,IMC '20: Proceedings of the ACM Internet Measurement Conference,,,492-505,Conference Paper,
P. Marcos; L. Prehn; L. Leal; A. Dainotti; A. Feldmann; M. Barcellos,2020-10-27,AS-Path Prepending: there is no rose without a thorn,IMC '20: Proceedings of the ACM Internet Measurement Conference,,,506-520,Conference Paper,
T. Arnold; J. He; W. Jiang; M. Calder; I. Cunha; V. Giotsas; E. Katz-Bassett,2020-10-27,Cloud Provider Connectivity in the Flat Internet,IMC '20: Proceedings of the ACM Internet Measurement Conference,,,230-246,Conference Paper,
V. Giotsas; T. Koch; E. Fazzion; I. Cunha; M. Calder; H. V. Madhyastha; E. Katz-Basset,2020-10-27,Reduce, Reuse, Recycle: Repurposing Existing Measurements to Identify Stale Traceroutes,IMC '20: Proceedings of the ACM Internet Measurement Conference,,,247-265,Conference Paper,
Z. Jin; X. Shi; Y. Yang; X. Yin; Z. Wang; J. wu,2020-10-27,TopoScope: Recover AS Relationships From Fragmentary Observations,IMC '20: Proceedings of the ACM Internet Measurement Conference,,,266-280,Conference Paper,
S. A. E. Monem; A. Khalafallah; S. I. Shaheen,2020-10-24,BGP Route Leaks Detection Using Supervised Machine Learning Technique, 2020 2nd Novel Intelligent and Leading Emerging Sciences Conference (NILES),,,,Conference Paper,
X. Li; Z. Cai; B. Hou; N. Liu; F. Liu; J. Cheng,2020-10-24,ProbInfer: Probability-based AS path inference from multigraph perspective,Computer Networks,180,,,Peer,
V. Giotsas; G. Nomikos; V. Kotronis; P. Sermpezis; P. Gigis; L. Manassakis; C. Dietzel; S. Konstantaras; X. Dimitropoulos,2020-10-23,O Peer, Where Art Thou? Uncovering Remote Peering Interconnections at IXPs,IEEE/ACM Transactions on Networking,,,,Peer,
J. Kwon; J. A. Garcia-Pardo; M. Legner; F. Wirz; M. Frei; D. Hausheer; A. Perrig,2020-10-13,SCIONLAB: A Next-Generation Internet Testbed,2020 IEEE 28th International Conference on Network Protocols (ICNP),,,,Conference Paper,
Z. Li; A. L. G. Rios; L. Trajkovic,2020-10-11,Detecting Internet Worms, Ransomware, and Blackouts Using Recurrent Neural Networks,2020 IEEE International Conference on Systems, Man, and Cybernetics (SMC),,,,Conference Paper,
I. Voitalov,2020-10-06,Theory and Applications of Latent Network Geometry,Northeastern University,,,,Peer,
D. Sisodia; J. Li; Lei J,2020-10-05,In-Network Filtering of Distributed Denial-of-Service Traffic with Near-Optimal Rule Selection,ASIA CCS '20: Proceedings of the 15th ACM Asia Conference on Computer and Communications Security,,,153-164,Conference Paper,
T. Garrett; L. C. E. Bona; E. P. Duarte,2020-10-02,Exploiting AS-level Routing Properties to Locate Traffic Differentiation in the Internet,2020 IEEE Symposium on Computers and Communications (ISCC),,,,Conference Paper,
A. Ishida; M. Harayama,2020-10-01,A Trial for Detection of Change in AS Operation Policies by Use of Machine Learning,2020 35th International Technical Conference on Circuits/Systems, Computers and Communications (ITC-CSCC),,,,Conference Paper,
J. Zhang; J. Zhang; X. Xiong; Y. Wang,2020-09-25,Optimal valid path prediction method for inter-domain networks considering commercial relationships*,Science and Artificial Intelligence (CISAI 2020),,,,Conference Paper,
Y. Wan; K. Xu; F. Wang; G. Xue,2020-09-25,Characterizing and Mining Traffic Patterns of IoT Devices in Edge Networks,IEEE Transactions on Network Science and Engineering,8,1,,Conference Paper,
K. Claffy; M. Luckie,2020-09-21,Augment Spoofer Project to Improve Remediation Efforts (ASPIRE),,,,,Peer,
T. Shapira; Y. Shavitt,2020-08-10,A Deep Learning Approach for IP Hijack Detection Based on ASN Embedding,Proceedings of the Workshop on Network Meets AI & ML (NetAI '20),,,35-41,Conference Paper,
O. F. Ozarslan; K. Sarac,2020-08-03,ZIDX: A Generic Framework for Random Access to BGP Records in Compressed MRT Datasets,2020 29th International Conference on Computer Communications and Networks (ICCCN),,,,Conference Paper,
T. Matcharashvili; A. Elmokashfi; A. Prangishvili,2020-08-01,Analysis of the regularity of the Internet Interdomain Routing dynamics,Physica A: Statistical Mechanics and its Applications,551,,,Peer,
Y. Li; W. Yu; Z. Li; Z. Yang,2020-08-01,Research on the evolution of global internet network interconnection relationship in 21 years,China Communications,17,8,,Peer,
I. Livadariu; A. Elmokashfi; A. Dhamdhere,2020-07-17,An agent-based model of IPv6 adoption,2020 IFIP Networking Conference (Networking),,,,Conference Paper,
R. Fontugne; K. Ermoshina; E. Aben,2020-07-17,The Internet in Crimea: a Case Study on Routing Interregnum,2020 IFP Networking Conference (Networking),,,,Conference,
K. Vermeulen,2020-07-16,lmproved algorithms for capturing Internet maps,HAL Open Science,,,,Peer,
A. Marder; M. Luckie; B. Huffaker; KC Claffy,2020-07-09,vrfinder: Finding Outbound Addresses in Traceroute,Proceedings of the ACM on Measurement and Analysis of Computing Systems,4,2,1-28,Conference Paper,
Q. Wang; S. M. Miller; R. H. Deng,2020-07-09,Driving Cybersecurity Policy Insights From Information on the Internet,IEEE Security & Privacy,18,6,42-50,Conference Paper,
Y. Yang; X. Shi; X. Yin; Z. Wang; X. Zhou,2020-07-07,The Understanding and Forecast of AS-Level Anycast Path Inflation,2020 IEEE Symposium on Computers and Communications (ISCC),,,,Conference Paper,
Z. Keifer,2020-07-03,Routing Data as a Measure of Internet Access,University of Oregon,,,,Peer,
K. Xu; Y. Wan; G. Xue; F. Wang,2020-06-24,Multidimensional Behavioral Profiling of Internet-of-Things in Edge Networks,2019 IEEE/ACM 27th International Symposium on Quality of Service (IWQoS),,,,Conference Paper,
G. Grigoryan; Y. Liu; M. Kwon,2020-06-23,Boosting FIB Caching Performance with Aggregation,HPDC '20: Proceedings of the 29th International Symposium on High-Performance Parallel and Distributed Computing,,,221-232,Conference Paper,
K. Subramani; R. Perdisci; M. Konte,2020-06-22,IXmon: Detecting and Analyzing DRDoS Attacks at Internet Exchange Points,Cornell University,,,,Peer,
M. Trevisan; F. Soro; M. Mellia; I. Drago; R. Morla,2020-06-22,Does domain name encryption increase users' privacy?,ACM SIGCOMM Computer Communication Review,40,3,16-22,Conference Paper,
T. Matcharashvili; A. Prangishvili,2020-06-12,Quantifying regularity of the Internet Interdomain Routing based on Border Gateway Protocol (BGP) data bases,,,,,Conference Paper,
S. Goldberg,2020-06-10,Anatomy of Multipath BGP Deployment in a Large ISP Network,4th Network Traffic Measurement and Analysis Conference (TMA 2020),12,8,20-33,Conference Paper,
A. Y. Nur,2020-06-09,K-Shell Decomposition of AS Level Multigraphs,2021 IEEE International Systems Conference (SysCon),,,,Conference Paper,
M. Korczynski; Y. Nosyk; Q. Lone; M. Skwarek; B. Jonglez; A. Duda,2020-06-09,The Closed Resolver Project: Measuring the Deployment of Source Address Validation of Inbound Traffic,Cornell University,,,,Peer,
W. B. De Vries; S. Aljammaz; R. van Rijswijk-Deij,2020-06-08,Global-Scale Anycast Network Management with Verfploeter,NOMS 2020 - 2020 IEEE/IFIP Network Operations and Management Symposium,,,,Conference Paper,
B. Al-Musawi; M. F. Hassan; S. M. Alturfi,2020-06-01,RDTD: A tool for detecting internet routing disruptions at AS-level,Journal of Telecommunications and the Digital Economy,,,18-30,Peer,
F. Douzet; L. Petiniaud; L. Salamatian; K. Limonier; Kave Salamatian,2020-05-26,Measuring the Fragmentation of the Internet: The Case of the Border Gateway Protocol (BGP) During the Ukrainian Crisis,,,,,Conference Paper,
M. Tran; I. Choi; G. J. Moon; A. V. Vu; M. S. Kang,2020-05-18,A Stealthier Partitioning Attack against Bitcoin Peer-to-Peer Network,2020 IEEE Symposium on Security and Privacy (SP),,,,Conference Paper,
Z. Zheng; X. Li; M. Tang; F. Xie; M. R. Lyu,2020-05-18,Web Service QoS Prediction via Collaborative Filtering: A Survey,IEEE Transactions on Services Computing,15,4,2455-2474,Conference Paper,
Y. Wu; R. Wang; X. Xu,2020-05-15,A Certificate Pin BGP Protocol: CP-BGP,2020 5th International Conference on Computer and Communication Systems (ICCCS),,,,Conference Paper,
J. Gedeon; S. Zengerle; S. Alles; F. Brandherm; M. Muhlhauser,2020-05-11,Sunstone: Navigating the Way Through the Fog,2020 IEEE 4th International Conference on Fog and Edge Computing (ICFEC),,,,Conference Paper,
M. Candela; G. Di Battista; L. Marzialetti,2020-05-01,Multi-view routing visualization for the identification of BGP issues,Journal of Computer Languages,58,,,Peer,
E. Gujral; R. Pasricha; E. Papalexakis,2020-04-20,Beyond Rank-1: Discovering Rich Community Structure in Multi-Aspect Graphs,WWW '20: Proceedings of The Web Conference 2020,,,452-462,Conference Paper,
M. Jonker; A. Sperotto; A. Pras,2020-04-20,DDoS Mitigation: A Measurement-Based Approach,NOMS 2020 - 2020 IEEE/IFIP Network Operations and Management Symposium,,,,Conference Paper,
N. Hart; C. Rostos; V. Giotsas; N. Race; D. Hutchison,2020-04-20,_BGP: Rethinking BGP programmability,NOMS 2020 - 2020 IEEE/IFIP Network Operations and Management Symposium,,,,Conference Paper,
S. S. Tomar; A. Rawat; P. D. Vyavahare; S. Tokekar,2020-04-18,Conceptual model for comparison of IPv6 ISPs based on IPv4 traffic profiles,International Journal of Information Technology,12,,1171-1182,Peer,
S. Kerrache; R. Alharbi; H. Benhidour,2020-04-14,A Scalable Similarity-Popularity Link Prediction Method,Sci Rep,10,,,Peer,
H. Zhu; H. Qiu; J. Zhu; Q. Wang,2020-04-13,DSA-NIE: Double Static Attributes Based Node Importance Evaluation of Inter-Domain Routing System,2019 IEEE 5th International Conference on Computer and Communications (ICCC),,,,Conference Paper,
D. A. Vega-Oliveros; L. da Fontoura Costa; F. A. Rodrigues,2020-04-01,Influence maximization by rumor spreading on correlated networks through community identification,Communications in Nonlinear Science and Numerical Simulation,83,,,Peer,
E. Carisimo; J. M. Del Fiore; D. Dijovne; C. Pelsser; J. I. Alvarez-Hamelin,2020-03-23,A first look at the Latin American IXPs,ACM SIGCOMM Computer Communication Review,50,1,18-24,Conference Paper,
KC Claffy; D. Clark,2020-03-23,Workshop on Internet Economics (WIE 2019) report,ACM SIGCOMM Computer Communication Review,50,22,53-59,Conference Paper,
C. Testart; P. Richter; A. King; A. Dainotti; D. Clark,2020-03-18,To Filter or Not to Filter: Measuring the Benefits of Registering in the RPKI Today,International Conference on Passive and Active Network Measurement,,,,Conference Paper,
M. Korczynski; Y. Nosyk; Q. Lone; M. Skwarek; B. Jonglez; A. Duda,2020-03-18,Don't Forget to Lock the Front Door! Inferring the Deployment of Source Address Validation of Inbound Traffic,International Conference on Passive and Active Network Measurement (PAM 2020),,,107-121,Conference Paper,
R. Fanou; B. Huffaker; R. Mok; KC Claffy,2020-03-18,Unintended Consequences: Effects of Submarine Cable Deployment on Internet Routing,International Conference on Passive and Active Network Measurement (PAM 2020),,,211-227,Conference Paper,
V. Giotsas; I. Livadariu; P. Gigis,2020-03-18,A First Look at the Misuse and Abuse of the IPv4 Transfer Market,International Conference on Passive and Active Network Measurement (PAM 2020),,,,Conference Paper,
T. Lv; D. Qin; L. Ge; S. Wen,2020-03-12,A Map-Reduce-Based Relation Inference Algorithm for Autonomous System,2019 20th International Conference on Parallel and Distributed Computing, Applications and Technologies (PDCAT),,,,Conference Paper,
G. C. Sankaran; K. M. Sivalingam,2020-03-09,Design and Analysis of Fast IP Address-Lookup Schemes based on Cooperation Among Routers,2020 International Conference on COMmunication Systems & NETworkS (COMSNETS),,,,Conference Paper,
O. S. Alkadi,2020-03-01,Defending Against Anomalies in Cloud Services and Live Migration,The University of New South Wales,,,,Peer,
Y. Liu; G. Grigoryan; J. Li; G. Sun; T. Tauber,2020-02-26,VeriTable: Fast equivalence verification of multiple large forwarding tables,Computer Networks,168,,,Conference Paper,
J. M. Smith; K. Birkeland; T. McDaniel; M. Schuchard,2020-02-23,Withdrawing the BGP Re-Routing Curtain,2020 Network and Distributed System (NDSS 2020),,,,Conference,
G. Hu; K. Fukuda,2020-02-19,Toward Detecting IoT Device Traffic in Transit Networks,2020 International Conference on Artificial Intelligence in Information and Communication (ICAIIC),,,,Conference Paper,
K. F. Awe; Y. Malik; P. Zavarsky; F. Jaafar,2020-02-13,Validating BGP Update Using Blockchain-Based Infrastructure,Decentralized Internet of Things,,,151-165,Conference Paper,
M. Zhang,2020-02-07,In-Network Defense Against Distributed Denial-of-Service on the Internet,University of Oregon,,,,Peer,
T. Hlavacek; C. Italo; G. Yossi; A. Herzberg; E. Katz-Bassett; M. Schapira; H. Shulman,2020-02-06,DISCO: Sidestepping RPKI's Deployment Barriers,Network and Distributed System Security Symposium (NDSS),,,,Conference Paper,
